text	label_x	label_y	_merge
There are a couple payments with my card shown in the app that i really didn't make myself. What's happenning with this, does someone has access to my card?!	card_payment_not_recognised		left_only
I need a transaction reversed from my account.	transaction_charged_twice		left_only
What proof of identification is needed?	verify_my_identity		left_only
Why didn't I receive the right amount of cash at the ATM?	wrong_amount_of_cash_received		left_only
What methods can I use to add money to my account?	transfer_into_account		left_only
I need to activate my card can you do that now?	activate_my_card		left_only
Why was I charged for getting cash?	cash_withdrawal_charge		left_only
What is the daily limit on my card?	top_up_limits		left_only
Can you tell me where to go to get a disposable virtual card?	get_disposable_virtual_card		left_only
My card was stolen. What do I need to do?	lost_or_stolen_card		left_only
Can I have multiple currencies in my account?	fiat_currency_support		left_only
My card is going to expire, what do I do?	card_about_to_expire		left_only
Whats the limit on my top up	top_up_limits		left_only
I deposited money but my balance hasn't been updated yet.	balance_not_updated_after_cheque_or_cash_deposit		left_only
Why hasn't my account updated?	balance_not_updated_after_cheque_or_cash_deposit		left_only
My card is about to expire.  How do I order another?	card_about_to_expire		left_only
The app doesn't recognize me.	unable_to_verify_identity		left_only
Why did I get declined when trying to get cash?	declined_cash_withdrawal		left_only
How do I go about ordering a new bank card?	card_about_to_expire		left_only
What type of ATMs accept this card?	atm_support		left_only
My virtual card won't work.	virtual_card_not_working		left_only
Are your cards available in the EU?	country_support		left_only
Where do I find my PIN for my new card?	get_physical_card		left_only
I withdrew money and got a fee, please explain	cash_withdrawal_charge		left_only
Help! My account doesn't show any funds. Is transferring funds an option I can use?	transfer_into_account		left_only
Can i make transactions before identity verification is complete?	why_verify_identity		left_only
I didn't receive all the cash I asked for	wrong_amount_of_cash_received		left_only
I need more money in my account. Can I add more by transferring?	transfer_into_account		left_only
I would like to receive a refund for something I bought.	request_refund		left_only
What can I do if contactless doesn't work?	contactless_not_working		left_only
I tried using my ATM card at your Notting Hill location today.  It did not work.  Am I doing something wrong?	declined_cash_withdrawal		left_only
what steps do i do to get a real card	order_physical_card		left_only
What is this extra fee that I got when I used my card to pay?	card_payment_fee_charged		left_only
What are the ATMs that will accept this card?	atm_support		left_only
My non-physical card will not work	virtual_card_not_working		left_only
How long will a transfer be pending for?	pending_transfer		left_only
I am seeing an extra fee on my statement what is that for?	extra_charge_on_statement		left_only
What is the next step if my card is about to expire.	card_about_to_expire		left_only
Where do I go for a refund?	request_refund		left_only
How can I top up with Google play?	apple_pay_or_google_pay		left_only
Is there any way I can get more physical cards to use with my account?	getting_spare_card		left_only
I lost my phone and need help securing it.	lost_or_stolen_phone		left_only
Can I verify my identity online?	verify_my_identity		left_only
Please tell me why I would have to pay a fee for a recent payment. Thanks.	card_payment_fee_charged		left_only
My transfer is still pending and I know the account numbers are correct.  Please help.	pending_transfer		left_only
I would like to have assistance with activating my card.	activate_my_card		left_only
Why was the transfer declined?	declined_transfer		left_only
Can I auto top-up as much as I want?	automatic_top_up		left_only
My card was eaten by the cash machine what do I do?	card_swallowed		left_only
What fee will be charged for exchanges?	exchange_charge		left_only
Do you offer account services for children and teens?	age_limit		left_only
I checked the app and there is a payment that I don't recognize.	card_payment_not_recognised		left_only
exchanging currencies costs what?	exchange_charge		left_only
Please explain the charge of 1L in error.  I have purchased nothing in this amount.	extra_charge_on_statement		left_only
I still have not received an answer as to why I was charged $1.00 in a transaction?	extra_charge_on_statement		left_only
I wanted to use my contactless at the metro today but it didn't accept it!	contactless_not_working		left_only
When topping up by transfer, will I be charged?	top_up_by_bank_transfer_charge		left_only
I need to get an actual card so that I can use it for in person transactions. How would I do this?	order_physical_card		left_only
How do I activate my card that just arrived?	activate_my_card		left_only
Problem verifying my account	unable_to_verify_identity		left_only
How old do you have to be to be able to open an account?	age_limit		left_only
can you check why I wasn't able to top up?	top_up_failed		left_only
I did not receive my purchase, how do I cancel it?	request_refund		left_only
what documents do i need to verify who i am	verify_my_identity		left_only
I want to transfer money into my account, what do I do?	transfer_into_account		left_only
Can you assist me with unblocking my PIN? I put it in wrong too many times.	pin_blocked		left_only
How do I input a new address?	edit_personal_details		left_only
Is it possible to get a Visa and Mastercard from you?	visa_or_mastercard		left_only
how come i was declined	declined_cash_withdrawal		left_only
Is it possible to get a card outside the UK?	country_support		left_only
I would like to know why my purchases from this morning are still pending.	pending_card_payment		left_only
There is a charge on my card that I did not make	card_payment_not_recognised		left_only
Hi, I have been transferring money to my friends since morning, but all my transactions were getting failed. Can you please look into this issue.	failed_transfer		left_only
I want a disposable virtual card, how do I do that?	get_disposable_virtual_card		left_only
How much do you charge for exchange rates?	exchange_charge		left_only
I am having a huge problem with my card being declined and it's really important that I top-up today.  Would you please look into this further and let me know how I can get this fixed?	top_up_failed		left_only
Why am I seeing a fee for transferring money?	transfer_fee_charged		left_only
How old do my kids have to be use this?	age_limit		left_only
I would like to know if you use Visa or Mastercard.	visa_or_mastercard		left_only
I attempted to get cash but was declined.	declined_cash_withdrawal		left_only
The exchange rate was incorrect for an item I bought.	card_payment_wrong_exchange_rate		left_only
I checked the app and saw an extra cash withdrawal that I didn't authorize	cash_withdrawal_not_recognised		left_only
why was my transfer declined	declined_transfer		left_only
Is there a limit for top ups?	top_up_limits		left_only
How can I receive money from someone?	receiving_money		left_only
Why was the exchange rate incorrect for an item I recently bought?	card_payment_wrong_exchange_rate		left_only
I am waiting for a payment to go through.	pending_card_payment		left_only
How can I top up my account by bank transfer?	transfer_into_account		left_only
My purchases from this morning are showing up as payment pending. Can you tell me why?	pending_card_payment		left_only
I need to change my data.	edit_personal_details		left_only
My phone was taken yesterday, is there something that I need to do?	lost_or_stolen_phone		left_only
I am trying  to  transfer and  it has been  stopped why is  that	beneficiary_not_allowed		left_only
I still don't have my pin.	get_physical_card		left_only
Am I able to get a refund for something I bought?	request_refund		left_only
Where can I sign up for a virtual card?	getting_virtual_card		left_only
When will it get delivered?	card_delivery_estimate		left_only
How do I receive a card?	order_physical_card		left_only
Can I top up using my car?	topping_up_by_card		left_only
Where did this extra €1 fee on my statement come from?	extra_charge_on_statement		left_only
I live in the EU.  Can I order one of your cards?	country_support		left_only
How do I know where I can use my card?	card_acceptance		left_only
Are these cards available in europe?	country_support		left_only
Why did I get a transfer declined?	declined_transfer		left_only
Is the ATM broken? I can't get cash from it.	declined_cash_withdrawal		left_only
Does this card work everywhere?	card_acceptance		left_only
Can you please explain why the exchange rate for the item I bought is wrong?	card_payment_wrong_exchange_rate		left_only
Can I get a few more physical cards?	getting_spare_card		left_only
Why did my transfer decline	declined_transfer		left_only
I tried to use my card to withdrawal money from the ATM in Notting Hill but it didn't work. This is the first time I've tried using it. Is my card working?	declined_cash_withdrawal		left_only
On a card top-up, where can I verify?	verify_top_up		left_only
Why would my payment still show as pending?	pending_card_payment		left_only
My transfer failed when I tried.	failed_transfer		left_only
My card is lost!  Please help me!	lost_or_stolen_card		left_only
Should I be seeing a fee applied for my money transfer?	transfer_fee_charged		left_only
Someone stole my cards!	lost_or_stolen_phone		left_only
Why is my disposable virtual card being denied?	virtual_card_not_working		left_only
If my PIN number is rejected, how do I solve it?	pin_blocked		left_only
I made a mistake and did a transaction to a wrong account, can I cancel?	cancel_transfer		left_only
Would I be able to get another card for my account, so I could give one to my daughter?	getting_spare_card		left_only
I made a cash deposit, but it hasn't shown up in my balance yet.	balance_not_updated_after_cheque_or_cash_deposit		left_only
What ATMs can I use this card at?	atm_support		left_only
I have tried a couple of times to make a purchase and my card keeps getting declined. Why do you keep denying my transfers? I have already tried a couple of times and it's not working.	declined_transfer		left_only
I urgently need to transfer something from China. How long can I expect it to take?	transfer_timing		left_only
Can someone assist me with activating my card?	activate_my_card		left_only
What do I do if my disposable virtual card doesn't work?	virtual_card_not_working		left_only
I don't think the charges made when I had currency exchanged are right.	card_payment_wrong_exchange_rate		left_only
When will my top-up happen?	pending_top_up		left_only
Can I withdraw from any ATM?	atm_support		left_only
I am not able to make a purchase because there is an issue with my card	reverted_card_payment?		left_only
Are there any restrictions for the disposable cards that I need to be aware of?	disposable_card_limits		left_only
Do you have any restrictions to my top-up?	top_up_limits		left_only
I went to the Notting Hill ATM to use my card the first time for a cash withdrawal but it didn't work. Does this mean that my card isn't working yet?	declined_cash_withdrawal		left_only
Can I transfer my payroll to the bank?	receiving_money		left_only
I want to transfer a sum of money from another bank account I have into this one	transfer_into_account		left_only
Can I transfer using SWIFT?	top_up_by_bank_transfer_charge		left_only
My card needs to be activated.	activate_my_card		left_only
I can't get money out of the ATM	declined_cash_withdrawal		left_only
What would the approximate delivery date be if I transferred something urgently to China?	transfer_timing		left_only
I want to cancel a purchase	request_refund		left_only
Why does the same transaction appear multiple times?	transaction_charged_twice		left_only
If I bought something I didn't like, can I get a refund?	request_refund		left_only
Are there restrictions for my disposable card since it does not seem to be working?	virtual_card_not_working		left_only
Does it cost anything to do currency exchanges?	exchange_charge		left_only
I was supposed to get a refund but I do not see it on my statement. When is it going to be updated?	Refund_not_showing_up		left_only
Why won't my card accept any transactions?	card_not_working		left_only
Can you tell me why a refund I'm owed is not showing on my statement?	Refund_not_showing_up		left_only
What is preventing me from adding a specific beneficiary?	beneficiary_not_allowed		left_only
I would like to know how to transfer money into my account.	transfer_into_account		left_only
My things were stolen yesterday and I can't use any apps or anything, so I am going to need some help.	lost_or_stolen_phone		left_only
Is there any cost to change foreign money to local?	exchange_charge		left_only
I lost the code and can not get into the app. Help!	passcode_forgotten		left_only
Does Apple Pay give the option to top up?	apple_pay_or_google_pay		left_only
How long does my top up pending last?	pending_top_up		left_only
I'm not sure how disposable virtual cards work. Please help.	get_disposable_virtual_card		left_only
I was under the impression that transfers were going to be free and here I was charged for something I bought overseas!  I don't think this fee is right	transfer_fee_charged		left_only
Why can't a beneficiary receive a money transfer from me?	beneficiary_not_allowed		left_only
My card is about to expire. How much does it cost to order a new one and how fast will I get it?	card_about_to_expire		left_only
Do i need to verify my top up?	verify_top_up		left_only
Topping up my card is not working because I believe the top up is pending	pending_top_up		left_only
Should I just wait until the post office sends a change of address form?	edit_personal_details		left_only
Do you accept Visa or Mastercard?	visa_or_mastercard		left_only
What are my payment options for topping off my account?	top_up_by_cash_or_cheque		left_only
I think a card payment I made was cancelled.	reverted_card_payment?		left_only
Why are there fees for using a card?	card_payment_fee_charged		left_only
I think I may have been charged $1 extra on my app.  Could you provide some insight as to why this may have happened?	extra_charge_on_statement		left_only
How long do EU transfers take? I bought something online a couple of days ago , sent the money immediately online but the seller says it is still not there yet.	pending_transfer		left_only
Why did the funds for one of my purchase come back to my account?	reverted_card_payment?		left_only
What would be the reason there's an extra fee on my statement?	extra_charge_on_statement		left_only
How many disposable cards can I make in a single day?	disposable_card_limits		left_only
An ATM fee was attached to my recent withdrawal.	cash_withdrawal_charge		left_only
I recently got charged twice from a restaurant that I was at this week and I would like for one of those payments to be removed from my account.	transaction_charged_twice		left_only
I would prefer a visa card	visa_or_mastercard		left_only
How do I prove I am who I am?	verify_my_identity		left_only
Is it free to transfer money or is there a fee?	transfer_fee_charged		left_only
Where do I order a disposable virtual card?	get_disposable_virtual_card		left_only
my google pay seems to be acting up.	apple_pay_or_google_pay		left_only
There's an unauthorized cash withdraw	cash_withdrawal_not_recognised		left_only
What is the cost for an exchange fee?	exchange_charge		left_only
How do I add cash to my account?	top_up_by_cash_or_cheque		left_only
What does my daughter need to open an account?	age_limit		left_only
Will it take more than 3 days for my transfer to reach my account?	transfer_timing		left_only
Is there a fee to top up by bank transfers?	top_up_by_bank_transfer_charge		left_only
Please tell me how to get a physical card.	order_physical_card		left_only
Is there any way to get another card on the same account?	getting_spare_card		left_only
How can I process a refund for something I purchased?	request_refund		left_only
help, lost my card	lost_or_stolen_card		left_only
Why am I not able to withdraw cash from this ATM?	declined_cash_withdrawal		left_only
Can I let other people have access to my account in order to top up?	topping_up_by_card		left_only
is there a way to do automatic top up	automatic_top_up		left_only
I am waiting patiently for a week now for the seller to get back to me and there has been no response, could you please help me further with getting my money back.  Thank you.	Refund_not_showing_up		left_only
Is there an auto top up feature?	automatic_top_up		left_only
I could not get my transfer to happen correctly and was wondering why?	failed_transfer		left_only
What are the available cards?	visa_or_mastercard		left_only
I want some extra physical cards.	getting_spare_card		left_only
I need to transfer funds from my other bank account into this bank account.	transfer_into_account		left_only
There is a pending transaction on my account, what does this mean?	pending_card_payment		left_only
The app failed to verify my id.	unable_to_verify_identity		left_only
Help! I'm missing money, I deposited a cheque but its not showing on my balance.	balance_not_updated_after_cheque_or_cash_deposit		left_only
Is there a top-up limit?	top_up_limits		left_only
I've use this account all the time, including over this past month, to pay for things from my new place abroad. I'm a really good customer, so why do I suddenly have new fees? I should be rewarded instead of charged more fees.	transfer_fee_charged		left_only
I noticed my transfer was declined.	declined_transfer		left_only
Why would a merchant revert my payment?	reverted_card_payment?		left_only
I did a transaction this morning and now I want to cancel it.	cancel_transfer		left_only
What are the limits for disposable virtual cards?	disposable_card_limits		left_only
I thought I can make transfers for free, this is not fair. I bought something online from abroad and there was some weird additional fee that I've never seen before?	transfer_fee_charged		left_only
The exchange rate that was applied for an international purchase was wrong.	card_payment_wrong_exchange_rate		left_only
Why isn't my google pay top up working?	apple_pay_or_google_pay		left_only
hey, I think someone stole my card numbers. There is a purchase showing up on my app from a store pretty far away from me.. I really need that money back to pay my rent.	direct_debit_payment_not_recognised		left_only
what is the price of a transfer?	top_up_by_bank_transfer_charge		left_only
I've already sent the money out and still have not received money in my account.	balance_not_updated_after_cheque_or_cash_deposit		left_only
I lost my phone. Can I use my card without the app?	lost_or_stolen_phone		left_only
Why did I have to pay extra because I paid with my card?	card_payment_fee_charged		left_only
I was double-charged for a transaction	transaction_charged_twice		left_only
How fast can you fix an error in payment?  I made a payment in the wrong account yesterday and it needs to be adjusted by tomorrow for my rent.	cancel_transfer		left_only
Which fiat currencies are supported?	fiat_currency_support		left_only
What is the charge for paying with my card?	card_payment_fee_charged		left_only
I want to know why I have been unable to withdrawn funds.	declined_cash_withdrawal		left_only
Please explain the fee on a transfer I made.	transfer_fee_charged		left_only
When I got cash, I'm pretty sure there was a glitch that overcharged me.	cash_withdrawal_charge		left_only
I am still waiting for the cash to be returned from a cheque I deposited!	balance_not_updated_after_cheque_or_cash_deposit		left_only
I topped up but it isn't in my account	pending_top_up		left_only
I entered my pin wrong  too many times.	pin_blocked		left_only
I tried and tried, but I could not complete my transfer. Tell me what is wrong.	failed_transfer		left_only
Online banking is not showing my cheque or cash deposit so the balance is incorrect.	balance_not_updated_after_cheque_or_cash_deposit		left_only
I have a question about fee for cash withdraw.	cash_withdrawal_charge		left_only
What steps do I have to take to activate my card?	activate_my_card		left_only
Please help me, its urgent. Someone has withdrawn money from my account as few hours before my wallet has been. Now i want to stop withdrawal of more money.	cash_withdrawal_not_recognised		left_only
Where can I deposit cash to top up?	top_up_by_cash_or_cheque		left_only
Why am I charged to get money from the ATM?	cash_withdrawal_charge		left_only
What fees do you charge for the standard card?	order_physical_card		left_only
Hello, I am a new customer, and just tried topping up for the first time. According to your information, the transaction should be instant - why does it still show as pending?	pending_top_up		left_only
The right amount of cash was not sent to me.	wrong_amount_of_cash_received		left_only
Am I the only one who can top-up my account?	topping_up_by_card		left_only
"What does it mean when a transfer is ""pending""?"	pending_transfer		left_only
My foreign currency exchange has been applied incorrectly.	card_payment_wrong_exchange_rate		left_only
I could not access my money at the ATM	declined_cash_withdrawal		left_only
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?	card_payment_wrong_exchange_rate		left_only
Does transferring money have a fee?	transfer_fee_charged		left_only
The ATM didn't give me the amount I asked for	wrong_amount_of_cash_received		left_only
Are purchases returnable for full refund?	request_refund		left_only
I wanna revert a transaction i did this morning.	cancel_transfer		left_only
My cheque deposit didn't seem to work.	balance_not_updated_after_cheque_or_cash_deposit		left_only
When I tried to transfer funds to my friend today I was unable to do so, why?	failed_transfer		left_only
My card got trapped inside an ATM, what should I do?	card_swallowed		left_only
The card I have doesn't work.	card_not_working		left_only
Help! When will the card arrive at my home?	card_delivery_estimate		left_only
I paid with my card so so why was I charged a transaction fee?	card_payment_fee_charged		left_only
Tell me why there is an extra charge when I used an ATM?	cash_withdrawal_charge		left_only
Help me!  I don't know what my password is.	passcode_forgotten		left_only
How can I tell if an AMT will take this card?	atm_support		left_only
The wrong rate was applied to an item I bought in a currency different from mine. Can this be changed?	card_payment_wrong_exchange_rate		left_only
How do I get a refund for an item I bought?	request_refund		left_only
I'm being asked for a verification code. Where do I find it?	verify_top_up		left_only
I still want to use my account but haven't verified is that OK?	why_verify_identity		left_only
Hi. I just withdrew cash from an ATM and received the wrong amount. However, my app shows the correct amount I withdrew. How do I get the rest of the cash?	wrong_amount_of_cash_received		left_only
How long do card transactions take to clear?	pending_card_payment		left_only
which identity details are required	why_verify_identity		left_only
is it just visa or can i also use mastercard?	visa_or_mastercard		left_only
Can you please explain to me why there is an extra €1 fee in my statement?	extra_charge_on_statement		left_only
Can I stop a transaction?	cancel_transfer		left_only
Why on earth is the exchange rate so bad?   Can I get a rate closer to the actual interbank rate?	card_payment_wrong_exchange_rate		left_only
I'd like to make some changes to my personal information.	edit_personal_details		left_only
On my disposable card, is there a transaction limit?	disposable_card_limits		left_only
Why am I being charged for the same thing twice?	transaction_charged_twice		left_only
Why have I been charged twice for the same transaction?	transaction_charged_twice		left_only
Please tell me why I am having problems transferring to a beneficiary.	beneficiary_not_allowed		left_only
There seems to be a couple of payments listed in the app I know weren't made by me. Is there a possibility someone has access to my card? Can you find out what's going on?	card_payment_not_recognised		left_only
I want to withdraw money, where can I go?	atm_support		left_only
how do i dispute a payment I didnt make	card_payment_not_recognised		left_only
I need to verify my identity, but how do I do that?	verify_my_identity		left_only
"After I make a payment, how long will it be before it transitions from ""pending"" to complete?"	pending_card_payment		left_only
I tried using my card at multiple vendors and now it's not working.	card_not_working		left_only
Can I have a mastercard?	visa_or_mastercard		left_only
I cannot get my card out of the ATM.	card_swallowed		left_only
How do I activate a card I received?	activate_my_card		left_only
I like Mastercard better.	visa_or_mastercard		left_only
If I exchange currencies on a regular basis, is there a discount?	exchange_charge		left_only
Why do the top-ups need to be verified?	verify_top_up		left_only
My card payment has had the status of pending forever. What is the issue? It should have gone through at some point.	pending_card_payment		left_only
Seems like my top-up has not gone through	pending_top_up		left_only
I tried to buy something online yesterday but it kept saying declined. Tried another time today but same thing happened. What's Broken?	declined_transfer		left_only
I made a payment but it's still pending	pending_card_payment		left_only
I didn't make this payment!	card_payment_not_recognised		left_only
Does a US transfer take long	transfer_timing		left_only
I prefer mastercard.	visa_or_mastercard		left_only
What do I do if the ATM swallowed my card?	card_swallowed		left_only
The app is showing that I received alot more money than I actually received from the ATM. This occurred earlier today.	wrong_amount_of_cash_received		left_only
I want to transfer money from another account into this one.	transfer_into_account		left_only
In regards to top-ups, can I do them via Google Pay?	apple_pay_or_google_pay		left_only
I have a payment listed in error.	card_payment_not_recognised		left_only
I have not received a refund.	Refund_not_showing_up		left_only
I am traveling to Germany, Will I be able to use my card there?	card_acceptance		left_only
Is there an additional charge to exchange currencies?	exchange_charge		left_only
I think a card payment I made was cancelled, can you check?	reverted_card_payment?		left_only
My card was working but now it doesn't.	card_not_working		left_only
Where can I change my personal information after I move?	edit_personal_details		left_only
How will I know when I get my refund?	Refund_not_showing_up		left_only
Why does my account not accept cash deposits?	balance_not_updated_after_cheque_or_cash_deposit		left_only
Do I have to pay for a second card?	getting_spare_card		left_only
I want to top up by transfering accounts, What do I do?	transfer_into_account		left_only
I transferred my funds, why did it not go through?	failed_transfer		left_only
What do I do if my phone was stolen?	lost_or_stolen_phone		left_only
Can I exchange my money for EUR?	fiat_currency_support		left_only
How do I set up an account for my children?	age_limit		left_only
there is a transaction on my account that i didnt make	card_payment_not_recognised		left_only
I don't know my password anymore.	passcode_forgotten		left_only
there is a transfer pending.	pending_transfer		left_only
The machine gave me the wrong amount of cash.	wrong_amount_of_cash_received		left_only
You shorted me money when I tried to make a withdrawal.	wrong_amount_of_cash_received		left_only
What are the fees associated with top up via transfer?	top_up_by_bank_transfer_charge		left_only
I going to be traveling, can I set up auto top-up if I run low on money?	automatic_top_up		left_only
How long does a payment show as pending before i should worry about it?	pending_card_payment		left_only
Can my friend send me money?	receiving_money		left_only
Something went wrong, I was charged an extra pound?	extra_charge_on_statement		left_only
How come I can't find my payment?	reverted_card_payment?		left_only
Hello, I recently ordered an item and I need help with cancelling and processing a refund as soon as possible. It's very important that I get my refund quickly.	request_refund		left_only
Is it possible for me to top up with Google Pay?	apple_pay_or_google_pay		left_only
Please check and let me know why my transfers are getting declined.	declined_transfer		left_only
I normally have no issues making transfers, so why am I suddenly being told it is not possible?	beneficiary_not_allowed		left_only
My transfer failed to process correctly. Is there a reason this would happen?	failed_transfer		left_only
Why can't I transfer to a beneficiary?	beneficiary_not_allowed		left_only
How come when I tried to pay contactless at the bus it didnt work?	contactless_not_working		left_only
What should I do if my passcode won't work?	passcode_forgotten		left_only
I would like a refund on one of your products that has been sold to me	request_refund		left_only
lost phone, dont want others to access account	lost_or_stolen_phone		left_only
Can my children get an account?	age_limit		left_only
I didn't withdraw cash but I see that transaction on my app	cash_withdrawal_not_recognised		left_only
I know there's an auto-top option but I can not locate it when I look?	automatic_top_up		left_only
How do I get extra physical cards?	getting_spare_card		left_only
My address has changed. How do I report it?	edit_personal_details		left_only
I can't make purchases with my virtual card.	virtual_card_not_working		left_only
i made a payment with my card and was charged a fee, why would you do that	card_payment_fee_charged		left_only
Can you give me the restrictions of the disposable cards?	disposable_card_limits		left_only
My top up hasn't worked, it's been stuck in pending for the last couple hours	pending_top_up		left_only
Can I use my card no matter where I go?	card_acceptance		left_only
I'm trying to activate the auto-top up function. Where is it?	automatic_top_up		left_only
Can I use a transfer to receive my transfer?	receiving_money		left_only
Why do we need to verify top-ups?	verify_top_up		left_only
I'm expecting a large refund from a store I returned merchandise to recently.  They say they have sent the money but I don't see it in my account, can you help.	Refund_not_showing_up		left_only
Hello, I have noticed a problem on my recent withdrawal at the banks atm machine.  I made a transaction and upon receiving my funds from the machine, a fee was assessed to my withdrawal.  Are these types of transactions free of charge?	cash_withdrawal_charge		left_only
I was removing a dollar amount from my account and now don't have access to my card.	card_swallowed		left_only
This is very frustrating. I can't get my card to work on any ATM I try and I've tried 3 of them so far. What's going on? Can you please fix this issue immediately?	declined_cash_withdrawal		left_only
Why can't I complete my transfer?	failed_transfer		left_only
IS there a fee to exchange currency?	exchange_charge		left_only
How do I update my address?	edit_personal_details		left_only
Are there any limits to how many disposable cards I can use?	disposable_card_limits		left_only
So what items  actually come  with  extra  fees	card_payment_fee_charged		left_only
When will my deposit post to my account?	balance_not_updated_after_cheque_or_cash_deposit		left_only
My card has an issue, the payment has been deferred.	reverted_card_payment?		left_only
I need to transfer something ASAP from China, how long will it take to post to my account?	transfer_timing		left_only
I have a problem with my account. I tried to transfer some funds and the message came back declined. Can you help me?	declined_transfer		left_only
